GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
employee-management-system,com.company.ems.entity,UserRole,21,0,0,0,4,0,1,0,1,0
employee-management-system,com.company.ems.entity,Account,26,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.entity,Employee,4,0,0,0,2,0,1,0,1,0
employee-management-system,com.company.ems.dto,AuthDtos.RefreshRequest,6,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,PageResponse,32,0,0,0,7,0,2,0,2,0
employee-management-system,com.company.ems.dto,AuthDtos.PasswordResetConfirm,9,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,AuthDtos.LoginResponse,12,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,AuthDtos.LoginRequest,9,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,EmployeeSelfUpdateRequest,6,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,AuthDtos.PasswordResetRequest,6,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,EmployeeAdminUpdateRequest,15,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.dto,EmployeeResponse,65,0,6,0,10,0,5,0,2,0
employee-management-system,com.company.ems.dto,AuthDtos,3,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems,EmsApplication,8,0,0,0,3,0,2,0,2,0
employee-management-system,com.company.ems.exception,ApiExceptions.NotFoundException,4,0,0,0,2,0,1,0,1,0
employee-management-system,com.company.ems.exception,ApiExceptions,3,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.exception,ApiExceptions.BadRequestException,4,0,0,0,2,0,1,0,1,0
employee-management-system,com.company.ems.exception,GlobalExceptionHandler,109,0,0,0,21,0,9,0,9,0
employee-management-system,com.company.ems.exception,ApiExceptions.ForbiddenException,4,0,0,0,2,0,1,0,1,0
employee-management-system,com.company.ems.security,JwtService,110,0,0,0,32,0,9,0,9,0
employee-management-system,com.company.ems.security,AccountUserDetailsService,15,0,0,0,3,0,2,0,2,0
employee-management-system,com.company.ems.security,AccountPrincipal,43,0,0,0,12,0,10,0,10,0
employee-management-system,com.company.ems.security,JwtAuthFilter,69,0,10,0,15,0,6,0,1,0
employee-management-system,com.company.ems.config,SecurityConfig,190,0,0,0,31,0,13,0,13,0
employee-management-system,com.company.ems.service,AuditService,33,0,4,0,11,0,3,0,1,0
employee-management-system,com.company.ems.service,EmployeeService,414,0,36,0,73,0,35,0,17,0
employee-management-system,com.company.ems.service,AuthService,158,0,10,0,23,0,9,0,4,0
employee-management-system,com.company.ems.controller,AuthController.AuthDtosPasswordResetShim,6,0,0,0,1,0,1,0,1,0
employee-management-system,com.company.ems.controller,AuthController,14,0,0,0,3,0,3,0,3,0
employee-management-system,com.company.ems.controller,EmployeeController,44,0,0,0,7,0,6,0,6,0
employee-management-system,com.company.ems.controller,DepartmentController,27,0,0,0,4,0,4,0,4,0
employee-management-system,com.company.ems.controller,AuditLogController,27,0,6,0,5,0,4,0,1,0
employee-management-system,com.company.ems.controller,HealthController,11,0,0,0,3,0,3,0,3,0
